state,city,geography,subgeography,subject_race,search_rate,stop_rate,hit_rate,inferred_threshold,stops_per_year,stop_rate_n
AZ,Statewide,AZ,Pinal County,white,NA,0.07744364834954448,NA,NA,19316.819277108436,293234.0240963855
AZ,Statewide,AZ,Pinal County,black,NA,0.11592767541598172,NA,NA,2077.301204819277,32012.963855421687
AZ,Statewide,AZ,Pinal County,hispanic,NA,0.0654971431203518,NA,NA,12345.253012048192,137774.7469879518
AZ,Statewide,AZ,Santa Cruz County,white,NA,0.07744364834954448,NA,NA,2025.0769230769229,293234.0240963855
AZ,Statewide,AZ,Santa Cruz County,black,NA,0.11592767541598172,NA,NA,132.45569620253164,32012.963855421687
AZ,Statewide,AZ,Santa Cruz County,hispanic,NA,0.0654971431203518,NA,NA,7223.39240506329,137774.7469879518
AZ,Statewide,AZ,Yavapai County,white,NA,0.07744364834954448,NA,NA,25430.370370370372,293234.0240963855
AZ,Statewide,AZ,Yavapai County,black,NA,0.11592767541598172,NA,NA,1707.4074074074074,32012.963855421687
AZ,Statewide,AZ,Yavapai County,hispanic,NA,0.0654971431203518,NA,NA,5476.444444444444,137774.7469879518
AZ,Statewide,AZ,Yuma County,white,NA,0.07744364834954448,NA,NA,8629.333333333332,293234.0240963855
AZ,Statewide,AZ,Yuma County,black,NA,0.11592767541598172,NA,NA,924.6075949367088,32012.963855421687
AZ,Statewide,AZ,Yuma County,hispanic,NA,0.0654971431203518,NA,NA,9117,137774.7469879518
AZ,Statewide,AZ,NA,white,NA,0.07744364834954448,NA,NA,28913.100000000002,293234.0240963855
AZ,Statewide,AZ,NA,black,NA,0.11592767541598172,NA,NA,3183.6000000000004,32012.963855421687
AZ,Statewide,AZ,NA,hispanic,NA,0.0654971431203518,NA,NA,17014.177215189873,137774.7469879518
CA,Statewide,CA,Alameda County,white,NA,0.1297605993604544,NA,NA,82726.36363636363,1917549.4545454546
CA,Statewide,CA,Alameda County,black,NA,0.16870111598440934,NA,NA,42090.181818181816,364640.5454545454
CA,Statewide,CA,Alameda County,hispanic,NA,0.09737632222919389,NA,NA,60192,1470953.0909090908
