city,state,geography,subgeography,subject_race,search_rate,stop_rate,hit_rate,inferred_threshold,stops_per_year,stop_rate_n
Los Angeles,CA,Los Angeles,0182,white,NA,0.10772053007767274,NA,NA,464.2105263157895,120984.26666666666
Los Angeles,CA,Los Angeles,0182,black,NA,0.32315822633876917,NA,NA,463.57894736842104,109763.6
Los Angeles,CA,Los Angeles,0182,hispanic,NA,0.11080766565828289,NA,NA,819.1578947368421,213069.73333333334
Los Angeles,CA,Los Angeles,0185,white,NA,0.10772053007767274,NA,NA,247.57894736842104,120984.26666666666
Los Angeles,CA,Los Angeles,0185,black,NA,0.32315822633876917,NA,NA,418.7368421052631,109763.6
Los Angeles,CA,Los Angeles,0185,hispanic,NA,0.11080766565828289,NA,NA,909.4736842105262,213069.73333333334
Los Angeles,CA,Los Angeles,0190,hispanic,NA,0.11080766565828289,NA,NA,12,213069.73333333334
Los Angeles,CA,Los Angeles,0191,white,NA,0.10772053007767274,NA,NA,48,120984.26666666666
Los Angeles,CA,Los Angeles,0191,black,NA,0.32315822633876917,NA,NA,64.94117647058823,109763.6
Los Angeles,CA,Los Angeles,0191,hispanic,NA,0.11080766565828289,NA,NA,104.66666666666666,213069.73333333334
Los Angeles,CA,Los Angeles,0192,white,NA,0.10772053007767274,NA,NA,163.33333333333331,120984.26666666666
Los Angeles,CA,Los Angeles,0192,black,NA,0.32315822633876917,NA,NA,290.52631578947364,109763.6
Los Angeles,CA,Los Angeles,0192,hispanic,NA,0.11080766565828289,NA,NA,546.3157894736842,213069.73333333334
Los Angeles,CA,Los Angeles,0195,white,NA,0.10772053007767274,NA,NA,107.36842105263159,120984.26666666666
Los Angeles,CA,Los Angeles,0195,black,NA,0.32315822633876917,NA,NA,318.3157894736842,109763.6
Los Angeles,CA,Los Angeles,0195,hispanic,NA,0.11080766565828289,NA,NA,660.6315789473684,213069.73333333334
Los Angeles,CA,Los Angeles,0201,white,NA,0.10772053007767274,NA,NA,38.82352941176471,120984.26666666666
Los Angeles,CA,Los Angeles,0201,black,NA,0.32315822633876917,NA,NA,37.6,109763.6
Los Angeles,CA,Los Angeles,0201,hispanic,NA,0.11080766565828289,NA,NA,157.26315789473682,213069.73333333334
Los Angeles,CA,Los Angeles,0202,white,NA,0.10772053007767274,NA,NA,32.72727272727273,120984.26666666666
Los Angeles,CA,Los Angeles,0202,black,NA,0.32315822633876917,NA,NA,35.07692307692307,109763.6
Los Angeles,CA,Los Angeles,0202,hispanic,NA,0.11080766565828289,NA,NA,87.33333333333333,213069.73333333334
Los Angeles,CA,Los Angeles,0203,white,NA,0.10772053007767274,NA,NA,17.333333333333332,120984.26666666666
Los Angeles,CA,Los Angeles,0203,black,NA,0.32315822633876917,NA,NA,15.42857142857143,109763.6
Los Angeles,CA,Los Angeles,0203,hispanic,NA,0.11080766565828289,NA,NA,39.529411764705884,213069.73333333334
Los Angeles,CA,Los Angeles,0204,white,NA,0.10772053007767274,NA,NA,35.333333333333336,120984.26666666666
Los Angeles,CA,Los Angeles,0204,black,NA,0.32315822633876917,NA,NA,25.200000000000003,109763.6
Los Angeles,CA,Los Angeles,0204,hispanic,NA,0.11080766565828289,NA,NA,67.33333333333333,213069.73333333334
Los Angeles,CA,Los Angeles,0205,white,NA,0.10772053007767274,NA,NA,48,120984.26666666666
Los Angeles,CA,Los Angeles,0205,black,NA,0.32315822633876917,NA,NA,18.545454545454547,109763.6
Los Angeles,CA,Los Angeles,0205,hispanic,NA,0.11080766565828289,NA,NA,64.42105263157895,213069.73333333334
Los Angeles,CA,Los Angeles,0211,white,NA,0.10772053007767274,NA,NA,33.473684210526315,120984.26666666666
Los Angeles,CA,Los Angeles,0211,black,NA,0.32315822633876917,NA,NA,28.235294117647058,109763.6
Los Angeles,CA,Los Angeles,0211,hispanic,NA,0.11080766565828289,NA,NA,98.5263157894737,213069.73333333334
Los Angeles,CA,Los Angeles,0212,white,NA,0.10772053007767274,NA,NA,38,120984.26666666666
Los Angeles,CA,Los Angeles,0212,black,NA,0.32315822633876917,NA,NA,31.058823529411768,109763.6
Los Angeles,CA,Los Angeles,0212,hispanic,NA,0.11080766565828289,NA,NA,119.36842105263159,213069.73333333334
Los Angeles,CA,Los Angeles,0215,white,NA,0.10772053007767274,NA,NA,27.428571428571427,120984.26666666666
Los Angeles,CA,Los Angeles,0215,black,NA,0.32315822633876917,NA,NA,22,109763.6
Los Angeles,CA,Los Angeles,0215,hispanic,NA,0.11080766565828289,NA,NA,82.73684210526315,213069.73333333334
Los Angeles,CA,Los Angeles,0216,white,NA,0.10772053007767274,NA,NA,51.33333333333333,120984.26666666666
Los Angeles,CA,Los Angeles,0216,black,NA,0.32315822633876917,NA,NA,35.199999999999996,109763.6
Los Angeles,CA,Los Angeles,0216,hispanic,NA,0.11080766565828289,NA,NA,133.33333333333331,213069.73333333334
Los Angeles,CA,Los Angeles,0217,white,NA,0.10772053007767274,NA,NA,59.333333333333336,120984.26666666666
Los Angeles,CA,Los Angeles,0217,black,NA,0.32315822633876917,NA,NA,28.615384615384613,109763.6
Los Angeles,CA,Los Angeles,0217,hispanic,NA,0.11080766565828289,NA,NA,118.73684210526316,213069.73333333334
Los Angeles,CA,Los Angeles,0218,white,NA,0.10772053007767274,NA,NA,79.33333333333333,120984.26666666666
Los Angeles,CA,Los Angeles,0218,black,NA,0.32315822633876917,NA,NA,26.400000000000002,109763.6
Los Angeles,CA,Los Angeles,0218,hispanic,NA,0.11080766565828289,NA,NA,153.33333333333334,213069.73333333334
Los Angeles,CA,Los Angeles,0219,white,NA,0.10772053007767274,NA,NA,72.66666666666666,120984.26666666666
Los Angeles,CA,Los Angeles,0219,black,NA,0.32315822633876917,NA,NA,25.333333333333336,109763.6
Los Angeles,CA,Los Angeles,0219,hispanic,NA,0.11080766565828289,NA,NA,108.66666666666666,213069.73333333334
Los Angeles,CA,Los Angeles,0221,white,NA,0.10772053007767274,NA,NA,14.181818181818183,120984.26666666666
Los Angeles,CA,Los Angeles,0221,black,NA,0.32315822633876917,NA,NA,24,109763.6
Los Angeles,CA,Los Angeles,0221,hispanic,NA,0.11080766565828289,NA,NA,44.66666666666667,213069.73333333334
Los Angeles,CA,Los Angeles,0231,white,NA,0.10772053007767274,NA,NA,21.6,120984.26666666666
Los Angeles,CA,Los Angeles,0231,black,NA,0.32315822633876917,NA,NA,30,109763.6
Los Angeles,CA,Los Angeles,0231,hispanic,NA,0.11080766565828289,NA,NA,90.94736842105263,213069.73333333334
Los Angeles,CA,Los Angeles,0233,white,NA,0.10772053007767274,NA,NA,24,120984.26666666666
Los Angeles,CA,Los Angeles,0233,black,NA,0.32315822633876917,NA,NA,24.800000000000004,109763.6
Los Angeles,CA,Los Angeles,0233,hispanic,NA,0.11080766565828289,NA,NA,123.78947368421052,213069.73333333334
Los Angeles,CA,Los Angeles,0235,white,NA,0.10772053007767274,NA,NA,63.15789473684211,120984.26666666666
Los Angeles,CA,Los Angeles,0235,black,NA,0.32315822633876917,NA,NA,44.66666666666667,109763.6
Los Angeles,CA,Los Angeles,0235,hispanic,NA,0.11080766565828289,NA,NA,211.57894736842104,213069.73333333334
Los Angeles,CA,Los Angeles,0236,white,NA,0.10772053007767274,NA,NA,103.76470588235293,120984.26666666666
Los Angeles,CA,Los Angeles,0236,black,NA,0.32315822633876917,NA,NA,68.84210526315789,109763.6
Los Angeles,CA,Los Angeles,0236,hispanic,NA,0.11080766565828289,NA,NA,396.63157894736844,213069.73333333334
Los Angeles,CA,Los Angeles,0237,white,NA,0.10772053007767274,NA,NA,45,120984.26666666666
Los Angeles,CA,Los Angeles,0237,black,NA,0.32315822633876917,NA,NA,137.33333333333334,109763.6
Los Angeles,CA,Los Angeles,0237,hispanic,NA,0.11080766565828289,NA,NA,255.78947368421052,213069.73333333334
Los Angeles,CA,Los Angeles,0238,white,NA,0.10772053007767274,NA,NA,34.285714285714285,120984.26666666666
Los Angeles,CA,Los Angeles,0238,black,NA,0.32315822633876917,NA,NA,32,109763.6
Los Angeles,CA,Los Angeles,0238,hispanic,NA,0.11080766565828289,NA,NA,190.10526315789474,213069.73333333334
Los Angeles,CA,Los Angeles,0239,white,NA,0.10772053007767274,NA,NA,30,120984.26666666666
Los Angeles,CA,Los Angeles,0239,black,NA,0.32315822633876917,NA,NA,38,109763.6
Los Angeles,CA,Los Angeles,0239,hispanic,NA,0.11080766565828289,NA,NA,72,213069.73333333334
Los Angeles,CA,Los Angeles,0241,white,NA,0.10772053007767274,NA,NA,16,120984.26666666666
Los Angeles,CA,Los Angeles,0241,black,NA,0.32315822633876917,NA,NA,20,109763.6
Los Angeles,CA,Los Angeles,0241,hispanic,NA,0.11080766565828289,NA,NA,37.714285714285715,213069.73333333334
Los Angeles,CA,Los Angeles,0245,white,NA,0.10772053007767274,NA,NA,202.66666666666669,120984.26666666666
Los Angeles,CA,Los Angeles,0245,black,NA,0.32315822633876917,NA,NA,222.66666666666669,109763.6
Los Angeles,CA,Los Angeles,0245,hispanic,NA,0.11080766565828289,NA,NA,742.7368421052631,213069.73333333334
